"","employee","salary2017","adjust2017","salary2018","raise"
"1","Employee 1",40159.565017093,-1783.70531764813,38375.8596994448,FALSE
"2","Employee 2",40993.012287654,1955.99152473733,42949.0038123913,TRUE
"3","Employee 3",41732.8747967258,8413.69834844954,50146.5731451754,TRUE
"4","Employee 4",40842.8588300012,4686.63432635367,45529.4931563549,TRUE
"5","Employee 5",42771.6203802265,-4617.38032405265,38154.2400561739,FALSE
"6","Employee 6",40307.6170268469,7284.41262268461,47592.0296495315,TRUE
"7","Employee 7",47242.6414513029,1824.63841629215,49067.2798675951,TRUE
"8","Employee 8",43173.8025927916,8305.8117958717,51479.6143886633,TRUE
"9","Employee 9",41374.6858434752,3552.60622105561,44927.2920645308,TRUE
"10","Employee 10",43561.0008868389,-3305.14844157733,40255.8524452616,FALSE
"11","Employee 11",40603.6549666896,2203.09975324199,42806.7547199316,TRUE
"12","Employee 12",42107.3923027143,-1211.32794534788,40896.0643573664,FALSE
"13","Employee 13",44165.8849129453,-3479.30570482276,40686.5792081226,FALSE
"14","Employee 14",46594.5506398566,-1234.96219865046,45359.5884412061,FALSE
"15","Employee 15",47125.8802013472,-1824.29069187492,45301.5895094723,FALSE
"16","Employee 16",43838.0116620101,3581.12656511366,47419.1382271238,TRUE
"17","Employee 17",40000.6213714369,-2454.74943541922,37545.8719360176,FALSE
"18","Employee 18",46906.6069554538,9862.97474941239,56769.5817048661,TRUE
"19","Employee 19",40190.1296596043,97.0588403288275,40287.1884999331,TRUE
"20","Employee 20",40889.4209936261,-1033.79321866669,39855.6277749594,FALSE
"21","Employee 21",40716.3522462361,-3300.95241894014,37415.3998272959,FALSE
"22","Employee 22",45839.5014540292,6817.38043436781,52656.881888397,TRUE
"23","Employee 23",46833.3316873759,1500.00354507938,48333.3352324553,TRUE
"24","Employee 24",46199.564000126,1894.43061244674,48093.9946125727,TRUE
"25","Employee 25",41696.7682330869,-2544.11303321831,39152.6551998686,FALSE
"26","Employee 26",49949.0115209483,8627.7093575336,58576.7208784819,TRUE
"27","Employee 27",43921.0965717211,9337.07615477033,53258.1727264915,TRUE
"28","Employee 28",43827.7032971382,1122.95630853623,44950.6596056744,TRUE
"29","Employee 29",43917.6475419663,2137.26736023091,46054.9149021972,TRUE
"30","Employee 30",48380.3230267949,-3731.40707495622,44648.9159518387,FALSE
"31","Employee 31",40402.762487065,9087.60462072678,49490.3671077918,TRUE
"32","Employee 32",43332.3786407709,4825.11165784672,48157.4902986176,TRUE
"33","Employee 33",40709.0635434724,-1469.47525558062,39239.5882878918,FALSE
"34","Employee 34",48918.6616847292,4048.19877352566,52966.8604582548,TRUE
"35","Employee 35",46171.3912361301,2000.63589494675,48172.0271310769,TRUE
"36","Employee 36",40997.9164763354,7112.12048307061,48110.036959406,TRUE
"37","Employee 37",44151.8832184374,3943.06203699671,48094.9452554341,TRUE
"38","Employee 38",43967.8899757564,6583.99670268409,50551.8866784405,TRUE
"39","Employee 39",44388.8290715404,-649.175426224247,43739.6536453161,FALSE
"40","Employee 40",45566.5201391093,3872.27492290549,49438.7950620148,TRUE
"41","Employee 41",44015.1668339968,9464.60922132246,53479.7760553192,TRUE
"42","Employee 42",48939.0750927851,-4435.34086924046,44503.7342235446,FALSE
"43","Employee 43",42026.0219299234,-3713.69354659691,38312.3283833265,FALSE
"44","Employee 44",43023.0239941739,-2061.69700715691,40961.3269870169,FALSE
"45","Employee 45",46187.0863568038,9261.20205316693,55448.2884099707,TRUE
"46","Employee 46",42784.9007258192,-2920.25665519759,39864.6440706216,FALSE
"47","Employee 47",45780.0455251709,4707.84397097304,50487.8894961439,TRUE
"48","Employee 48",47559.2262344435,6463.89133646153,54023.117570905,TRUE
"49","Employee 49",42805.3251514211,4073.03076586686,46878.355917288,TRUE
"50","Employee 50",46833.8171974756,8823.14584567212,55656.9630431477,TRUE
"51","Employee 51",43729.80754124,4525.49210516736,48255.2996464074,TRUE
"52","Employee 52",49557.8582515009,3155.78682231717,52713.645073818,TRUE
"53","Employee 53",41680.811017286,-1693.78816150129,39987.0228557847,FALSE
"54","Employee 54",40567.1064159833,115.394110325724,40682.500526309,TRUE
"55","Employee 55",40046.1727869697,-148.708098568022,39897.4646884017,FALSE
"56","Employee 56",48541.759729851,821.066293865442,49362.8260237165,TRUE
"57","Employee 57",42197.8638786823,-3213.55606429279,38984.3078143895,FALSE
"58","Employee 58",45747.7323594503,-4234.20543782413,41513.5269216262,FALSE
"59","Employee 59",42909.6737666987,-1768.3463182766,41141.3274484221,FALSE
"60","Employee 60",43032.4764666148,4711.83418994769,47744.3106565624,TRUE
"61","Employee 61",47789.7582040168,-2106.80416668765,45682.9540373292,FALSE
"62","Employee 62",48207.6950231567,-4774.99761269428,43432.6974104624,FALSE
"63","Employee 63",46534.1846621595,3239.78340369649,49773.968065856,TRUE
"64","Employee 64",47596.1077027023,-4912.25239471532,42683.855307987,FALSE
"65","Employee 65",41733.5898941383,-3286.41797532327,38447.171918815,FALSE
"66","Employee 66",42057.8924007714,-1790.94318533316,40266.9492154382,FALSE
"67","Employee 67",40893.125908915,-2952.47541973367,37940.6504891813,FALSE
"68","Employee 68",41601.2736479752,3401.3192076236,45002.5928555988,TRUE
"69","Employee 69",40491.3863562979,7041.54500504956,47532.9313613474,TRUE
"70","Employee 70",47811.5082485601,5097.32537670061,52908.8336252607,TRUE
"71","Employee 71",45958.8360274211,8996.22819968499,54955.064227106,TRUE
"72","Employee 72",49327.0191620104,4773.67515210062,54100.694314111,TRUE
"73","Employee 73",48238.651601132,-2023.84738833643,46214.8042127956,FALSE
"74","Employee 74",40020.5786945298,-1263.48049961962,38757.0981949102,FALSE
"75","Employee 75",49044.1109170206,6466.43278887495,55510.5437058955,TRUE
"76","Employee 76",47949.9885602854,9899.31173156947,57849.3002918549,TRUE
